Date,Description,Type,Primary Category,Sub Category,Vendor,Tax/Reason,Note,Amount,,
07/31/23,CHICK-FIL-A #03664,DEBIT,,,,,,-65.98,,
07/31/23,DELTA FOOD & FUEL,DEBIT,,,,,,-50.69,,
07/31/23,DELTA FOOD & FUEL,DEBIT,,,,,,-8.75,,
07/29/23,YesStyle,DEBIT,,,,,,-54.68,,
07/28/23,CITRUS HEIGHTS GROCE,DEBIT,,,,,,-237.11,,
07/28/23,SP BUILDSKINCARECAN,DEBIT,,,,,,-48.55,,
07/28/23,STARBUCKS STORE 17861,DEBIT,,,,,,-17.9,,
07/28/23,THAI HUT,DEBIT,,,,,,-85.88,,
07/27/23,RALEY S #448,DEBIT,,,,,,-86.32,,
07/27/23,STARBUCKS STORE 13400,DEBIT,,,,,,-31.85,,
07/27/23,TACO BELL #028754,DEBIT,,,,,,-14.48,,
07/27/23,TARGET        00022681,DEBIT,,,,,,-149.41,,
07/26/23,BJS RESTAURANTS 508,DEBIT,,,,,,-11.74,,
07/26/23,THE GOOD AND THE BEAUT,DEBIT,,,,,,-42.51,,
07/26/23,UNCLE HARRY'S NATURAL,DEBIT,,,,,,-27.95,,
07/25/23,CHEVRON 0376769,DEBIT,,,,,,-65.93,,
07/24/23,NUGGET MARKET #6,DEBIT,,,,,,-91.31,,
07/23/23,Payment Received,CREDIT,,,,,,3842,,
07/22/23,CHEVRON 0376769,DEBIT,,,,,,-57.32,,
07/21/23,IN N OUT BURGER 225,DEBIT,,,,,,-24.25,,
07/21/23,INTEREST CHARGE-PURCHASES,DEBIT,,,,,,-50.32,,
07/21/23,NUGGET MARKET #6,DEBIT,,,,,,-54.5,,
07/21/23,WALMART.COM,DEBIT,,,,,,-37.45,,
07/20/23,NUGGET MARKET #6,DEBIT,,,,,,-145.78,,
07/19/23,STARBUCKS STORE 48275,DEBIT,,,,,,-5.25,,
07/19/23,WM SUPERCENTER #2464,DEBIT,,,,,,-305.33,,
07/18/23,CHEVRON 0376769,DEBIT,,,,,,-87.22,,
07/18/23,CHEVRON 0376769,DEBIT,,,,,,-90.62,,
07/18/23,LOWES #02755*,DEBIT,,,,,,-43.8,,
07/18/23,STARBUCKS STORE 02907,DEBIT,,,,,,-29.4,,
07/17/23,ORKIN  LLC 002,DEBIT,,,,,,-52.96,,
07/15/23,LOWES #02755*,DEBIT,,,,,,-316.09,,
07/15/23,LOWES #02755*,DEBIT,,,,,,-38.93,,
07/15/23,PAPA MURPHY'S CA227,DEBIT,,,,,,-33.98,,
07/13/23,IN N OUT BURGER 217,DEBIT,,,,,,-21.82,,
07/12/23,SQ *HONEYBEE KIDS  SAL,DEBIT,,,,,,-27.99,,
07/12/23,STARBUCKS STORE 06986,DEBIT,,,,,,-5.95,,
07/12/23,TARGET        00022681,DEBIT,,,,,,-28.14,,
07/12/23,TST* The Alley - Elk G,DEBIT,,,,,,-44.18,,
07/12/23,TST* The Alley - Elk G,DEBIT,,,,,,-38,,
07/11/23,TSUKI SUSHI,DEBIT,,,,,,-100,,
07/09/23,NUGGET MARKET #6,DEBIT,,,,,,-137.54,,
07/08/23,BIOMECHANIC CHIROPRACT,DEBIT,,,,,,-40,,
07/07/23,ARCO#83425KAMBOJ OIQPS,DEBIT,,,,,,-50,,
07/07/23,CAROLINA'S MEXICAN #5,DEBIT,,,,,,-13.2,,
07/07/23,CVS/PHARMACY #07136,DEBIT,,,,,,-28.14,,
07/07/23,RALEY S #448,DEBIT,,,,,,-62.39,,
07/06/23,NUGGET MARKET #6,DEBIT,,,,,,-132.52,,
07/06/23,NUGGET MARKET #6,DEBIT,,,,,,-107.67,,
07/06/23,TACO BELL #028754,DEBIT,,,,,,-14.48,,
07/02/23,STARBUCKS STORE 00568,DEBIT,,,,,,-11.1,,
07/01/23,ROMANS PIZZA,DEBIT,,,,,,-60.58,,
06/30/23,CHIPOTLE 0926,DEBIT,,,,,,-11.39,,
06/30/23,SMOG N GO,DEBIT,,,,,,-69.75,,
06/30/23,SQ *FALLING PRICES CIT,DEBIT,,,,,,-57.11,,
06/30/23,THE HOME DEPOT 1846,DEBIT,,,,,,-312.84,,
06/29/23,LE CROISSANT FACTORY,DEBIT,,,,,,-9.2,,
06/29/23,SACRAMENTO POCKET GR,DEBIT,,,,,,-304.33,,
06/29/23,TARGET        00022681,DEBIT,,,,,,-96.35,,
06/28/23,Payment Received,CREDIT,,,,,,2000,,
06/27/23,FRANKLIN RANCH PET HOS,DEBIT,,,,,,-176.5,,
06/26/23,WWW.MUMABLUE.COM,DEBIT,,,,,,-40.86,,
06/24/23,NUGGET MARKET #6,DEBIT,,,,,,-51.13,,
06/23/23,QUICKQUACK* #0701 WASH,DEBIT,,,,,,-11.99,,
06/23/23,RALEY S #448,DEBIT,,,,,,-89.23,,
06/22/23,STARBUCKS STORE 02907,DEBIT,,,,,,-17.25,,
06/22/23,THAI HUT,DEBIT,,,,,,-101.99,,
06/21/23,INTEREST CHARGE-PURCHASES,DEBIT,,,,,,-37.32,,
06/21/23,"THE FIG TREE COFFEE, A",DEBIT,,,,,,-11.25,,
06/21/23,TST* The Monks Cellar,DEBIT,,,,,,-26.72,,
06/19/23,ORKIN  LLC 002,DEBIT,,,,,,-330.99,,
06/19/23,TST* Mizuki Sushi Elk,DEBIT,,,,,,-107.68,,
06/18/23,NUGGET MARKET #6,DEBIT,,,,,,-54.32,,
06/16/23,CHEVRON 0376769,DEBIT,,,,,,-91.81,,
06/16/23,ROSEVILLE GROCERY OU,DEBIT,,,,,,-375.91,,
06/15/23,CHEVRON 0207436,DEBIT,,,,,,-14.01,,
06/15/23,CHEVRON 0207436,DEBIT,,,,,,-20.61,,
06/14/23,FOLSOM LAKE STATE RECR,DEBIT,,,,,,-12,,
06/14/23,PANDA EXPRESS #849,DEBIT,,,,,,-45.25,,
06/12/23,CHEVRON 0376769,DEBIT,,,,,,-67.13,,
06/11/23,TACO BELL 041359,DEBIT,,,,,,-47,,
06/09/23,NUGGET MARKET #6,DEBIT,,,,,,-48.83,,
06/09/23,SEASONS 52 0074534,DEBIT,,,,,,-12.62,,
06/09/23,SQ *LAWSON'S LANDING I,DEBIT,,,,,,-35.97,,
06/08/23,SEPHORA ARDEN FAIR,DEBIT,,,,,,-39.15,,
06/07/23,SQ *FALLING PRICES CIT,DEBIT,,,,,,-42.09,,
06/06/23,AMERICAS TIRE CAN 39,DEBIT,,,,,,-287.7,,
06/06/23,WM SUPERCENTER #3652,DEBIT,,,,,,-424.38,,
06/05/23,CHEVRON 0356696,DEBIT,,,,,,-71.18,,
06/04/23,NUGGET MARKET #6,DEBIT,,,,,,-27.07,,
06/03/23,ROMANS PIZZA,DEBIT,,,,,,-80.81,,
06/02/23,DOLLAR TREE,DEBIT,,,,,,-56.77,,
06/02/23,NUGGET MARKET #6,DEBIT,,,,,,-66.27,,
06/02/23,SEPHORA ROSEVILLE,DEBIT,,,,,,-113.12,,
06/02/23,SMART AND FINAL 729,DEBIT,,,,,,-88.72,,
06/02/23,SQ *SUITE 207,DEBIT,,,,,,-114,,
06/02/23,STARBUCKS STORE 07929,DEBIT,,,,,,-20,,
06/01/23,BEVERAGES & MORE #112,DEBIT,,,,,,-146.02,,
06/01/23,CHEVRON 0307708,DEBIT,,,,,,-25.33,,
05/30/23,GREEN ACRES  ELK GROVE,DEBIT,,,,,,-79.45,,
05/30/23,RALEY S #302,DEBIT,,,,,,-49.34,,
05/30/23,THE UPS STORE 7570,DEBIT,,,,,,-148.04,,
05/28/23,CHEVRON 0376769,DEBIT,,,,,,-109.24,,
05/27/23,BIOMECHANIC CHIROPRACT,DEBIT,,,,,,-40,,
05/27/23,CAFE LATTE COMPANY,DEBIT,,,,,,-5.25,,
05/27/23,CAFE LATTE COMPANY,DEBIT,,,,,,-4.75,,
05/26/23,ROSEVILLE GROCERY OU,DEBIT,,,,,,-811.09,,
05/25/23,CHEVRON 0207436,DEBIT,,,,,,-72.38,,
05/25/23,IN N OUT BURGER 217,DEBIT,,,,,,-27.69,,
05/25/23,NUGGET MARKET #6,DEBIT,,,,,,-78.22,,
05/25/23,Payment Received,CREDIT,,,,,,4000,,
05/25/23,TACO BELL 26783,DEBIT,,,,,,-18.27,,
05/25/23,TARGET        00022681,DEBIT,,,,,,-54.65,,
05/24/23,IN N OUT BURGER 217,DEBIT,,,,,,-27.58,,
05/24/23,NUGGET MARKET #6,DEBIT,,,,,,-76.67,,
05/24/23,ROSEVILLE KIDS DENTIST,DEBIT,,,,,,-72.25,,
05/22/23,TST* Aloha Sushi,DEBIT,,,,,,-36.77,,
05/21/23,INTEREST CHARGE-PURCHASES,DEBIT,,,,,,-53.77,,
05/20/23,NUGGET MARKET #6,DEBIT,,,,,,-20.19,,
05/19/23,CHEVRON 0206532,DEBIT,,,,,,-26.24,,
05/19/23,NUGGET MARKET #6,DEBIT,,,,,,-117.46,,
05/19/23,PAPA MURPHY'S CA227,DEBIT,,,,,,-20.99,,
05/17/23,ROWDY RANDYS GAS,DEBIT,,,,,,-26.97,,
05/17/23,ROWDY RANDYS GAS,DEBIT,,,,,,-30,,
05/17/23,ROWDY RANDYS GAS,DEBIT,,,,,,-97.58,,
05/17/23,SAFEWAY #3122,DEBIT,,,,,,-240.77,,
05/16/23,TARGET        00003103,DEBIT,,,,,,-71.71,,
05/16/23,TST* Selland Family Gr,DEBIT,,,,,,-28.78,,
05/13/23,GREEN ACRES  ELK GROVE,DEBIT,,,,,,-284.79,,
05/13/23,TST* India Oven - Rose,DEBIT,,,,,,-40,,
05/12/23,CHICK-FIL-A #03441,DEBIT,,,,,,-9.2,,
05/12/23,KFC/AW #258,DEBIT,,,,,,-11.89,,
05/12/23,LOWES #02755*,DEBIT,,,,,,-169.76,,
05/12/23,NUGGET MARKET #6,DEBIT,,,,,,-80.39,,
05/12/23,RALEY S #448,DEBIT,,,,,,-58.27,,
05/11/23,FAIRYTALE TOWN,DEBIT,,,,,,-28,,
05/11/23,NUGGET MARKET #6,DEBIT,,,,,,-93.79,,
05/11/23,Payment Received,CREDIT,,,,,,4000,,
05/10/23,ARCO#83821TAKHAR WEQPS,DEBIT,,,,,,-69.73,,
05/10/23,BARNES & NOBLE #2031,DEBIT,,,,,,-5.01,,
05/10/23,MIKUNI FOUNTAINS,DEBIT,,,,,,-57.77,,
05/09/23,Payment Received,CREDIT,,,,,,78.56,,
05/09/23,RECREATION.GOV,DEBIT,,,,,,-20,,
05/09/23,SP SOIL ORGANIC,DEBIT,,,,,,-31.76,,
05/07/23,RALEY S #448,DEBIT,,,,,,-117.89,,
05/05/23,NUGGET MARKET #6,DEBIT,,,,,,-135.75,,
04/30/23,CHEVRON 0376769,DEBIT,,,,,,-91.57,,
04/30/23,FIVE GUYS 1559 QSR,DEBIT,,,,,,-51.25,,
04/30/23,WAL-MART #3652,DEBIT,,,,,,-50.1,,
04/29/23,ROMANS PIZZA,DEBIT,,,,,,-69.75,,
04/27/23,CHEVRON 0207436,DEBIT,,,,,,-83.25,,
04/26/23,NUGGET MARKET #6,DEBIT,,,,,,-101.72,,
04/26/23,ROSS STORES #283,DEBIT,,,,,,-82.62,,
04/26/23,TST* MIZUKI SUSHI ELK,DEBIT,,,,,,-89.52,,
04/21/23,BIOMECHANIC CHIROPRACT,DEBIT,,,,,,-2038,,
04/21/23,IN N OUT BURGER 132,DEBIT,,,,,,-32.33,,
04/21/23,INTEREST CHARGE-PURCHASES,DEBIT,,,,,,-33.76,,
04/21/23,NUGGET MARKET #6,DEBIT,,,,,,-86.08,,
04/21/23,SHELL OIL 574430148QPS,DEBIT,,,,,,-87.25,,
04/20/23,CHEVRON 0307708,DEBIT,,,,,,-67.09,,
04/20/23,FUNDERLAND,DEBIT,,,,,,-15.23,,
04/20/23,NUGGET MARKET #6,DEBIT,,,,,,-91.97,,
04/20/23,SQ *MAYA,DEBIT,,,,,,-30,,
04/19/23,BEL AIR #514,DEBIT,,,,,,-58.66,,
04/19/23,FALLING PRICES ELK GRO,DEBIT,,,,,,-69.6,,
04/19/23,SACRAMENTO POCKET GR,DEBIT,,,,,,-501.66,,
04/17/23,NUGGET MARKET #6,DEBIT,,,,,,-43.73,,
04/15/23,BIOMECHANIC CHIROPRACT,DEBIT,,,,,,-60,,
04/15/23,GREENHOUSE,DEBIT,,,,,,-8.75,,
04/15/23,SQ *THE DISCOUNT STORE,DEBIT,,,,,,-149.99,,
04/15/23,THE HOME DEPOT #1846,DEBIT,,,,,,-108.77,,
04/14/23,SQ *FALLING PRICES CIT,DEBIT,,,,,,-36.64,,
04/11/23,CHEVRON 0207436,DEBIT,,,,,,-42.74,,
04/11/23,NUGGET MARKET #6,DEBIT,,,,,,-111.19,,
04/10/23,FP *MYPILLOW INC - INT,DEBIT,,,,,,-94.38,,
04/09/23,7-ELEVEN 34492,DEBIT,Automotive,Gas,,,,-45.35,,
04/08/23,BIOMECHANIC CHIROPRACT,DEBIT,,,,,,-40,,
04/07/23,BIOMECHANIC CHIROPRACT,DEBIT,,,,,,-150,,
04/06/23,INTUIT *TURBOTAX,DEBIT,,,,,,-130,,
04/05/23,NUGGET MARKET #6,DEBIT,,,,,,-188.46,,
04/05/23,SQ *FALLING PRICES CIT,DEBIT,,,,,,-116.37,,
04/04/23,CHEVRON 0376769,DEBIT,,,,,,-82.18,,
03/31/23,BIOMECHANIC CHIROPRACT,DEBIT,,,,,,-33,,
03/31/23,CARLS JR 1100562,DEBIT,,,,,,-37.26,,
03/31/23,Payment Received,CREDIT,,,,,,4000,,
03/31/23,SQ *FALLING PRICES CIT,DEBIT,,,,,,-42.02,,
03/31/23,THAI HUT,DEBIT,,,,,,-165.75,,
03/29/23,FP *MYPILLOW INC - INT,DEBIT,,,,,,-109.4,,
03/29/23,NUGGET MARKET #6,DEBIT,,,,,,-62.12,,
03/29/23,"PERFECT SUPPLEMENTS, L",DEBIT,,,,,,-80.65,,
03/26/23,ROSS STORES #2071,DEBIT,,,,,,-57.09,,
03/26/23,TST* Blue Nami - Orang,DEBIT,,,,,,-44.33,,
03/25/23,NUGGET MARKET #6,DEBIT,,,,,,-21.07,,
03/25/23,ROSEVILLE GROCERY OU,DEBIT,,,,,,-408.21,,
03/25/23,STARBUCKS STORE 07929,DEBIT,,,,,,-6.4,,
03/22/23,DOLLAR TREE,DEBIT,,,,,,-37.99,,
03/22/23,JOHNKART USA LLC,DEBIT,,,,,,-35.24,,
03/22/23,THAI HUT,DEBIT,,,,,,-70.31,,
03/21/23,CHEVRON 0376769,DEBIT,,,,,,-94.36,,
03/21/23,INTEREST CHARGE-PURCHASES,DEBIT,,,,,,-55.93,,
03/21/23,NUGGET MARKET #6,DEBIT,,,,,,-34.15,,
03/19/23,Payment Received,CREDIT,,,,,,3842.51,,
03/18/23,Payment Received,CREDIT,,,,,,48.83,,
03/18/23,THE HOME DEPOT #6674,DEBIT,,,,,,-145.92,,
03/16/23,CHICK-FIL-A #03441,DEBIT,,,,,,-47.94,,
03/16/23,PANERA BREAD #202221 P,DEBIT,,,,,,-16.51,,
03/15/23,DOLLAR TREE,DEBIT,,,,,,-48.61,,
03/15/23,THE GOOD AND THE BEAUT,DEBIT,,,,,,-152.21,,
03/13/23,BJS RESTAURANTS 508,DEBIT,,,,,,-45.82,,
03/13/23,WELLEVATE.* WELLEVATE,DEBIT,,,,,,-33.84,,
03/12/23,CHEVRON 0376769,DEBIT,,,,,,-97.31,,
03/10/23,BIDRL CITRUS HEIGHTS,DEBIT,,,,,,-20,,
03/10/23,BIOMECHANIC CHIROPRACT,DEBIT,,,,,,-40,,
03/10/23,CHEVRON 0376769,DEBIT,,,,,,-87.44,,
03/10/23,SQ *FALLING PRICES CIT,DEBIT,,,,,,-26.94,,
03/09/23,CHEVRON 0376769,DEBIT,,,,,,-100,,
03/09/23,FLORIN NAIL SPA,DEBIT,,,,,,-52,,
03/09/23,NUGGET MARKET #5,DEBIT,,,,,,-146.5,,
03/09/23,TACO BELL 26783,DEBIT,,,,,,-12.25,,
03/05/23,LOWES #01207*,DEBIT,,,,,,-644.78,,
03/05/23,YesStyle,DEBIT,,,,,,-94.7,,
03/04/23,ROMANS PIZZA,DEBIT,,,,,,-109.27,,
03/03/23,CHICK-FIL-A #03441,DEBIT,,,,,,-9.24,,
03/03/23,SAFEWAY #2263,DEBIT,,,,,,-21.98,,
03/03/23,SQ *FALLING PRICES CIT,DEBIT,,,,,,-82.81,,
03/02/23,NUGGET MARKET #6,DEBIT,,,,,,-102.75,,
03/01/23,CHEVRON 0207436,DEBIT,,,,,,-119.99,,
03/01/23,CHICK-FIL-A #03653,DEBIT,,,,,,-48.33,,
02/24/23,BIOMECHANIC CHIROPRACT,DEBIT,,,,,,-40,,
02/24/23,DOLLAR TREE,DEBIT,,,,,,-107.95,,
02/24/23,ROSEVILLE GROCERY OU,DEBIT,,,,,,-409.51,,
02/23/23,STARBUCKS STORE 13400,DEBIT,,,,,,-9.9,,
02/22/23,IN N OUT BURGER 225,DEBIT,,,,,,-17.32,,
02/22/23,WM SUPERCENTER #3652,DEBIT,,,,,,-16.61,,
02/22/23,WM SUPERCENTER #3652,DEBIT,,,,,,-59.93,,
02/20/23,MARRIOTT MARQUISHOUSTO,DEBIT,,,,,,-989.1,,
02/19/23,TORRID #5048,DEBIT,,,,,,-11,,
02/17/23,NUGGET MARKET #6,DEBIT,,,,,,-8.99,,
02/16/23,WALMART.COM,DEBIT,,,,,,-14.68,,
02/16/23,WWW.TORRID.COM,DEBIT,,,,,,-74.54,,
02/15/23,ULTA.COM,DEBIT,,,,,,-30.23,,
02/15/23,ULTA.COM,DEBIT,,,,,,-20.03,,
02/13/23,SPROUTS FARMERS MARK,DEBIT,,,,,,-72.76,,
02/12/23,CHEVRON 0376769,DEBIT,,,,,,-85.72,,
02/12/23,NUGGET MARKET #6,DEBIT,,,,,,-73.69,,
02/10/23,AUTOMOTIVE SERVICE OF,DEBIT,,,,,,-99.35,,
02/10/23,BABYLON CITY MARKET,DEBIT,,,,,,-53.05,,
02/10/23,CITY OF FOLSOM PARK &,DEBIT,,,,,,-42,,
02/10/23,FAITHGATEWAY.COM,DEBIT,,,,,,-39.54,,
02/10/23,HOBBY LOBBY #522,DEBIT,,,,,,-8.78,,
02/10/23,O'REILLY AUTO PARTS 34,DEBIT,,,,,,-200.08,,
02/10/23,QUIK STOP #0103,DEBIT,,,,,,-110.95,,
02/09/23,CHEVRON 0099485,DEBIT,,,,,,-65.17,,
02/09/23,PAYPAL *PRADEEPHAND,DEBIT,,,,,,-51.48,,
02/09/23,TARGET        00022681,DEBIT,,,,,,-142.9,,
02/08/23,HCSS,DEBIT,,,,,,-1990,,
02/08/23,LI'S MONGOLIAN BBQ,DEBIT,,,,,,-17.23,,
02/07/23,CHEVRON 0380437,DEBIT,,,,,,-82.03,,
02/07/23,WWW.TORRID.COM,DEBIT,,,,,,-10.74,,
02/06/23,PAPA MURPHY'S CA124,DEBIT,,,,,,-109.39,,
02/04/23,IKEA WEST SACRAMENTO,DEBIT,,,,,,-118.23,,
02/04/23,SACRAMENTO DI,DEBIT,,,,,,-26.5,,
02/03/23,PAPA MURPHY'S CA227,DEBIT,,,,,,-25.18,,
02/01/23,TST* HOOD STATION,DEBIT,,,,,,-43.1,,
01/30/23,CHEVRON 0376769,DEBIT,,,,,,-81.68,,
01/30/23,STARBUCKS STORE 13400,DEBIT,,,,,,-5.25,,
01/30/23,WACKY TACKY COMPANY LL,DEBIT,,,,,,-32,,
01/29/23,FANDANGO,DEBIT,,,,,,-26.78,,
01/29/23,REGAL DELTA SHORES 14,DEBIT,,,,,,-18.97,,
01/29/23,WALMART #2464,DEBIT,,,,,,-89.13,,
01/29/23,WM SUPERCENTER #2464,DEBIT,,,,,,-123.05,,
01/27/23,AUTOMOTIVE SERVICE OF,DEBIT,,,,,,-61.5,,
01/27/23,ROSEVILLE GROCERY OU,DEBIT,,,,,,-310.67,,
01/26/23,7-ELEVEN 34492,DEBIT,Automotive,Gas,,,,-15.05,,
01/26/23,NUGGET MARKET #6,DEBIT,,,,,,-141.87,,
01/26/23,STARBUCKS STORE 13400,DEBIT,,,,,,-14.35,,
01/26/23,THAI HUT,DEBIT,,,,,,-70.31,,
01/25/23,CHEVRON 0308063,DEBIT,,,,,,-61.29,,
01/25/23,CHEVRON 0380437,DEBIT,,,,,,-87.85,,
01/25/23,FALLING PRICES ELK GRO,DEBIT,,,,,,-116.06,,
01/24/23,Payment Received,CREDIT,,,,,,1316.09,,
01/21/23,ARBY'S 5771,DEBIT,Food,Fast Food,Arbys,,,-27.99,,
01/21/23,CHEVRON 0376769,DEBIT,,,,,,-59.03,,
01/21/23,NUGGET MARKET #6,DEBIT,,,,,,-15.69,,
01/20/23,STARBUCKS STORE 05499,DEBIT,,,,,,-13.9,,
01/20/23,TM *MICHAEL CARBONARO,DEBIT,,,,,,-129.05,,
01/19/23,CHEVRON 0376769,DEBIT,,,,,,-92.47,,
01/19/23,CHEVRON 0376769,DEBIT,,,,,,-22.72,,
01/19/23,TACO BELL 26783,DEBIT,,,,,,-17.63,,
01/18/23,BJS RESTAURANTS 508,DEBIT,,,,,,-36.81,,
01/17/23,WWW.TORRID.COM,DEBIT,,,,,,-34.16,,
01/16/23,SQ *SUITE 207,DEBIT,,,,,,-90,,
01/16/23,STARBUCKS STORE 13400,DEBIT,,,,,,-15.65,,
01/16/23,TARGET        00011213,DEBIT,,,,,,-9.52,,
01/16/23,ULTA #124,DEBIT,,,,,,-9.59,,
01/12/23,TARGET        00022681,DEBIT,,,,,,-65.57,,
01/07/23,CHEVRON 0376769,DEBIT,,,,,,-78.79,,
01/07/23,HOBBY-LOBBY #491,DEBIT,,,,,,-71.72,,
01/07/23,ROSS STORES #1200,DEBIT,,,,,,-44.13,,
01/07/23,WWW.TORRID.COM,DEBIT,,,,,,-30.81,,
01/06/23,FOOTHILLS HABITAT FOR,DEBIT,,,,,,-33,,
01/06/23,TARGET        00022681,DEBIT,,,,,,-180.95,,
01/05/23,Payment Received,CREDIT,,,,,,2631.96,,
01/04/23,CHEVRON 0376769,DEBIT,,,,,,-100.39,,
01/04/23,CHEVRON 0376769,DEBIT,,,,,,-54.1,,
01/03/23,CHEVRON 0207436,DEBIT,,,,,,-13.52,,
01/03/23,ROMANS PIZZA,DEBIT,,,,,,-47.6,,
01/02/23,BJS RESTAURANTS 508,DEBIT,,,,,,-82.42,,
12/31/22,TARGET        00022681,DEBIT,,,,,,-28.25,,
12/31/22,THE HOME DEPOT #1003,DEBIT,,,,,,-17.69,,
12/30/22,ARCO#07168ARCO #071QPS,DEBIT,,,,,,-71.22,,
12/30/22,ROSEVILLE GROCERY OU,DEBIT,,,,,,-579.71,,
