Date,Description,Type,Primary Category,Sub Category,Vendor,Tax/Reason,Note,Amount,,
1/8/2024,TARGET        00022681,DEBIT,,,,,, $(126),,
2/10/2024,THAI HUT,DEBIT,,,,,, $(62),,
1/8/2024,THE HOME DEPOT 1846,DEBIT,,,,,, $(246),,
1/28/2024,THE UPS STORE 1687,DEBIT,,,,,, $(13),,
2/16/2024,THE UPS STORE 2503,DEBIT,,,,,, $(15),,
2/1/2024,TST* LEATHERBYS FAMILY,DEBIT,,,,,, $(16),,
2/16/2024,TST* MIZUKI SUSHI - CI,DEBIT,,,,,, $(90),,
1/3/2024,TST* MIZUKI SUSHI ELK,DEBIT,,,,,, $(81),,
1/28/2024,TST* RAKU SUSHI - WEST,DEBIT,,,,,, $(78),,
1/31/2024,TST* THE MONKS CELLAR,DEBIT,,,,,, $(22),,
2/18/2024,TST* WEST COAST SOURDO,DEBIT,,,,,, $(26),,
2/12/2024,USPS PO 0515840612,DEBIT,,,,,, $(16),,
1/20/2024,WM SUPERCENTER #3652,DEBIT,,,,,, $(88),,
12/31/2023,LOWES #02755*,DEBIT,,,,,, $(24),,
12/30/2023,ARCO#83425KAMBOJ OIQPS,DEBIT,,,,,, $(44),,
12/30/23,BJS RESTAURANTS 436,DEBIT,,,,,,-19.46,,
12/29/23,CHEVRON 0376769,DEBIT,,,,,,-78.99,,
12/29/23,CHEVRON 0376769,DEBIT,,,,,,-111.69,,
12/29/23,LOWES #02755*,DEBIT,,,,,,-278.03,,
12/29/23,LOWES #02755*,DEBIT,,,,,,-68.07,,
12/29/23,QDI*QUEST DIAGNOSTICS,DEBIT,,,,,,-8.2,,
12/29/23,TST* ZOCALO - ROSEVILL,DEBIT,,,,,,-42.13,,
12/28/23,WALMART.COM,DEBIT,,,,,,-33.76,,
12/26/23,SP PEACH AND LILY,DEBIT,,,,,,-82.05,,
12/23/23,CHEVRON 0376769,DEBIT,,,,,,-79.26,,
12/23/23,FASTENERS INC,DEBIT,,,,,,-383.89,,
12/23/23,NUGGET MARKET #6,DEBIT,,,,,,-93.44,,
12/21/23,INTEREST CHARGE-PURCHASES,DEBIT,,,,,,-91,,
12/21/23,WALMART.COM,DEBIT,,,,,,-139.41,,
12/20/23,TURO INC.* TRIP JAN 20,DEBIT,,,,,,-409.03,,
12/19/23,ONCE UPON A CHLD #2026,DEBIT,,,,,,-95.9,,
12/19/23,Payment Received,CREDIT,,,,,,4000,,
12/19/23,ROSEVILLE GROCERY OU,DEBIT,,,,,,-444.42,,
12/19/23,STARBUCKS STORE 06986,DEBIT,,,,,,-34.27,,
12/19/23,TST* THE MONKS CELLAR,DEBIT,,,,,,-61.63,,
12/18/23,LATE PAYMENT FEE,DEBIT,,,,,,-29,,
12/18/23,TARGET        00015024,DEBIT,,,,,,-167.51,,
12/17/23,ORKIN  LLC 002,DEBIT,,,,,,-53,,
12/17/23,WALMART.COM,DEBIT,,,,,,-73.19,,
12/15/23,CAROLINA'S MEXICAN #5,DEBIT,,,,,,-37.98,,
12/15/23,LOWES #02755*,DEBIT,,,,,,-85.95,,
12/15/23,THE HOME DEPOT 636,DEBIT,,,,,,-588.42,,
12/15/23,Vrbo HAXR9CBX,DEBIT,,,,,,-1559,,
12/15/23,WALMART.COM,DEBIT,,,,,,-33.76,,
12/13/23,CHICK-FIL-A #03441,DEBIT,,,,,,-23.85,,
12/13/23,IN-N-OUTWESTSACRAMENTO,DEBIT,,,,,,-15.32,,
